2025-04-15 23:21:14,840 - WARNING -   File .ly corrispondente non trovato per marsch_woo29.mid, uso solo analisi MIDI.
2025-04-15 23:21:23,842 - WARNING -   File .ly corrispondente non trovato per BrahmsHornTrio.mid, uso solo analisi MIDI.
2025-04-15 23:21:49,163 - WARNING -   File .ly corrispondente non trovato per BuxWV69_score.mid, uso solo analisi MIDI.
2025-04-15 23:21:51,744 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-15.mid, uso solo analisi MIDI.
2025-04-15 23:21:51,852 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-19.mid, uso solo analisi MIDI.
2025-04-15 23:21:51,987 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-22.mid, uso solo analisi MIDI.
2025-04-15 23:21:58,163 - INFO - Elaborato 600/1862 file MIDI...
2025-04-15 23:22:02,629 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-01.mid, uso solo analisi MIDI.
2025-04-15 23:22:02,693 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-06.mid, uso solo analisi MIDI.
2025-04-15 23:22:02,745 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-08.mid, uso solo analisi MIDI.
2025-04-15 23:22:02,816 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-11.mid, uso solo analisi MIDI.
2025-04-15 23:22:02,897 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-13.mid, uso solo analisi MIDI.
2025-04-15 23:22:03,034 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-17.mid, uso solo analisi MIDI.
2025-04-15 23:22:03,170 - WARNING -   File .ly corrispondente non trovato per guitar-skole-no-20.mid, uso solo analisi MIDI.
2025-04-15 23:22:04,528 - WARNING -   File .ly corrispondente non trovato per ChabrierLarghetto.mid, uso solo analisi MIDI.
2025-04-15 23:22:06,054 - WARNING -   File .ly corrispondente non trovato per chp-10-01.mid, uso solo analisi MIDI.
2025-04-15 23:22:06,561 - WARNING -   File .ly corrispondente non trovato per chp-10-05.mid, uso solo analisi MIDI.
